"sample","pond","treatment","day","date","sample_vol_L","biomass_mg_L","C_ug","N_ug","t15N_ug","N_atom_perc","preN_atom_perc","add15N_perc","dorset_pond"
"zooplankton",4,"A",1.26,"17/07/13",3.9710885254936,0.0785,158.66,37.47,0.14255787014842,0.380458687345664,0.367571676497926,0.0128870108477381,7
"zooplankton",4,"A",1.76,"17/07/13",4.01043426040611,0.0415,86.67,21.37,0.0840099980546788,0.393121188837991,0.367571676497926,0.0255495123400655,7
"zooplankton",4,"A",2.26,"18/07/13",3.99647499449218,0.0445,74.15,18.14,0.0724310125847762,0.399288933763926,0.367571676497926,0.0317172572660004,7
"zooplankton",4,"A",4.26,"20/07/13",4.00168997203286,0.0426,84.413,18.388,0.0781482132534485,0.424995721413142,0.367571676497926,0.0574240449152156,7
"zooplankton",4,"A",6.26,"22/07/13",4.00160690342406,0.0229,32.35,7.67,0.0336146889621337,0.438261916064324,0.367571676497926,0.0706902395663985,7
"zooplankton",4,"A",11.26,"27/07/13",3.99755607925286,0.0335,53.26,11.45,0.0574356875603085,0.501621725417541,0.367571676497926,0.134050048919615,7
"zooplankton",4,"A",23.26,"08/08/13",2.90493963514491,0.124,155.14,30.51,0.143730674724166,0.471093656913032,0.367571676497926,0.103521980415106,7
"zooplankton",4,"A",28.26,"13/08/13",4.00105087237226,0.0329,65.598,14.5,0.0677560702313487,0.467283242974818,0.367571676497926,0.0997115664768926,7
"zooplankton",4,"A",52.26,"06/09/13",3.99007174221982,0.0389,58.66,12.05,0.0513604983181223,0.426228201810144,0.367571676497926,0.0586565253122177,7
"phytoplankton",5,"A",0.00999999999999979,"15/07/13",0.0182735593549488,23.57,157.5241,12.5112,0.0460107339312358,0.367756361749759,0.3667854814391,0.000970880310658673,10
"phytoplankton",5,"A",0.87,"16/07/13",0.0208815885694342,18.83,173.2074,13.5776,0.11007972517873,0.810745088813412,0.3667854814391,0.443959607374312,10
"phytoplankton",5,"A",1.23,"16/07/13",0.0208834358819143,20.83,147.9698,12.1483,0.200689053514995,1.65199290036462,0.3667854814391,1.28520741892552,10
"phytoplankton",5,"A",1.75,"17/07/13",0.0208824861101186,17.33,138.1571,12.5302,0.278883276549786,2.22568894790016,0.3667854814391,1.85890346646106,10
"phytoplankton",5,"A",2.08,"17/07/13",0.0243585097928532,9.43,173.8576,14.6301,0.305389827119892,2.08740765353547,0.3667854814391,1.72062217209637,10
"phytoplankton",5,"A",2.84,"18/07/13",0.018264957601355,20.29,126.075,10.6828,0.194352084865448,1.81929910571618,0.3667854814391,1.45251362427708,10
"phytoplankton",5,"A",3.93,"19/07/13",0.010436920494851,17.17,72.2145,6.6285,0.0941521609420812,1.4204142859181,0.3667854814391,1.053628804479,10
"phytoplankton",5,"A",4.95,"20/07/13",0.0208800999670183,17.5,146.8655,11.2372,0.149709959825691,1.33227102681888,0.3667854814391,0.96548554537978,10
"phytoplankton",5,"A",6.99,"22/07/13",0.0278284575938687,15.38,150.1585,12.2447,0.114786658228714,0.937439530806911,0.3667854814391,0.570654049367811,10
